park,site,pebble_number,intermediate_axis,embeddedness
GM,CCR,42,8,
GM,CCR,43,5,
GM,CCR,44,4,
GM,CCR,45,8,
GM,CCR,46,6,
GM,CCR,47,7,
GM,CCR,48,5,
GM,CCR,49,6,
GM,CCR,50,6,0
GM,CCR,51,6,
GM,CCR,52,6,
GM,CCR,53,5,
GM,CCR,54,7,
GM,CCR,55,4,
GM,CCR,56,10,
GM,CCR,57,5,
GM,CCR,58,8,
GM,CCR,59,8,
GM,CCR,60,6,25
GM,CCR,61,6,
GM,CCR,62,3,
GM,CCR,63,5,
GM,CCR,64,4,
GM,CCR,65,5,
GM,CCR,66,4,
GM,CCR,67,8,
GM,CCR,68,8,
GM,CCR,69,5,
GM,CCR,70,9,25
GM,CCR,71,6,
GM,CCR,72,7,
GM,CCR,73,7,
GM,CCR,74,6,
GM,CCR,75,7,
GM,CCR,76,6,
GM,CCR,77,11,
GM,CCR,78,5,
GM,CCR,79,3,
GM,CCR,80,5,25
GM,CCR,81,5,
GM,CCR,82,7,
GM,CCR,83,8,
GM,CCR,84,2,
GM,CCR,85,3,
GM,CCR,86,5,
GM,CCR,87,5,
GM,CCR,88,7,
GM,CCR,89,2,
GM,CCR,90,5,0
GM,CCR,91,6,
GM,CCR,92,5,
GM,CCR,93,4,
GM,CCR,94,6,
GM,CCR,95,4,
GM,CCR,96,8,
GM,CCR,97,5,
GM,CCR,98,6,
GM,CCR,99,6,
GM,CCR,100,8,25
GM,BRY,1,1,
GM,BRY,2,1,
GM,BRY,3,2,
GM,BRY,4,1,
GM,BRY,5,2,
GM,BRY,6,2,
GM,BRY,7,1,
GM,BRY,8,2,
GM,BRY,9,2,
GM,BRY,10,3,0
GM,BRY,11,1,
GM,BRY,12,2,
GM,BRY,13,3,
GM,BRY,14,7,
GM,BRY,15,2,
GM,BRY,16,8,
GM,BRY,17,3,
GM,BRY,18,5,
GM,BRY,19,3,
GM,BRY,20,9,50
GM,BRY,21,2,
GM,BRY,22,4,
GM,BRY,23,9,
GM,BRY,24,9,
GM,BRY,25,4,
GM,BRY,26,16,
GM,BRY,27,12,
GM,BRY,28,6,
GM,BRY,29,8,
GM,BRY,30,5,0
