park,site,sample_number,date,injection_number,analysis,area,tn_mgl
GM,HCT,3,2022-09-23 17:23,1,TN,18.03,0.609263589
GM,HCT,3,2022-09-23 17:27,2,TN,17.96,0.606797777
GM,HCT,3,2022-09-23 17:32,3,TN,18.21,0.615604251
GM,BRY,1,2022-09-23 17:40,1,TN,15.61,0.524016917
GM,BRY,1,2022-09-23 17:44,2,TN,15.82,0.531414356
GM,BRY,1,2022-09-23 17:49,3,TN,15.68,0.52648273
GM,BRY,2,2022-09-23 17:57,1,TN,15,0.502529119
GM,BRY,2,2022-09-23 18:01,2,TN,14.56,0.487029724
GM,BRY,2,2022-09-23 18:11,4,TN,14.75,0.493722645
GM,BRY,3,2022-09-23 18:19,1,TN,16.29,0.547970527
GM,BRY,3,2022-09-23 18:28,3,TN,15.77,0.529653061
GM,BRY,3,2022-09-23 18:32,4,TN,15.97,0.53669824
GM,BRY,blank,2022-09-23 18:39,1,TN,9.276,0.300896081
GM,BRY,blank,2022-09-23 18:47,3,TN,8.969,0.29008173
GM,BRY,blank,2022-09-23 18:51,4,TN,9.192,0.297937106
GM,MIT,1,2022-09-22 16:57,3,TN,22.13,0.75368977
GM,MIT,2,2022-09-22 17:19,3,TN,20.71,0.703668995
GM,SLA,blank,2022-09-22 18:52,3,TN,13.31,0.442997352
GM,RHB,2,2022-09-22 19:31,3,TN,20.76,0.70543029
GM,GMS,1,2022-09-22 20:25,2,TN,19.2,0.65047789
GM,GMS,1,2022-09-22 20:36,4,TN,18.74,0.634273977
GM,GMS,2,2022-09-22 20:58,3,TN,19.78,0.67090891
GM,GMS,blank,2022-09-22 21:29,1,TN,10.83,0.355637126
GM,GMS,blank,2022-09-22 21:41,4,TN,10.8,0.354580349
GM,TUK,1,2022-09-22 21:57,1,TN,11.58,0.382056549
GM,TUK,2,2022-09-22 22:20,1,TN,15.19,0.50922204
GM,TUK,3,2022-09-22 22:48,2,TN,13.33,0.44370187
GM,TUK,3,2022-09-22 22:53,3,TN,13.16,0.437713468
GM,LOM,2,2022-09-22 23:28,1,TN,12.43,0.411998562
GM,LOM,3,2022-09-22 23:54,2,TN,15.85,0.532471132
GM,LOM,3,2022-09-23 0:03,4,TN,15.88,0.533527909
GM,LOM,blank,2022-09-23 0:46,4,TN,5.22,0.15801984
GM,LOM,blank,2022-09-23 0:50,5,TN,5.83,0.179507637
GM,MAS,1,2022-09-23 2:57,1,TN,22.23,0.75721236
GM,MAS,1,2022-09-23 3:02,2,TN,20.36,0.691339931
GM,MAS,3,2022-09-23 11:30,1,TN,23.26,0.793495034
GM,MAS,3,2022-09-23 11:36,2,TN,22.21,0.756507842
GM,MAS,blank,2022-09-23 11:53,1,TN,15.6,0.523664658
GM,MAS,blank,2022-09-23 12:05,4,TN,14.25,0.476109696
GM,CCR,1,2022-09-23 13:13,1,TN,11.9,0.393328837
GM,CCR,2,2022-09-23 13:34,1,TN,16.46,0.55395893
GM,CCR,2,2022-09-23 13:39,2,TN,15.23,0.510631076
GM,WAT,1,2022-09-23 14:21,2,TN,13.85,0.462019337
GM,WAT,2,2022-09-23 14:38,1,TN,13.41,0.446519942
GM,WAT,2,2022-09-23 14:51,4,TN,13.61,0.453565122
GM,WAT,3,2022-09-23 15:14,4,TN,11.43,0.376772665
GM,WAT,3,2022-09-23 15:18,5,TN,11.17,0.367613931
GM,WAT,blank,2022-09-23 16:24,2,TN,6.106,0.189229985
GM,WAT,blank,2022-09-23 16:28,3,TN,5.58,0.170701163
GM,HCT,2,2022-09-23 17:06,2,TN,18.02,0.60891133
GM,BRY,2,2022-09-23 18:06,3,TN,13.9,0.463780632
GM,BRY,3,2022-09-23 18:23,2,TN,16.84,0.567344771
GM,BRY,blank,2022-09-23 18:43,2,TN,8.322,0.267290575
